"","day_of_week","calories"
"810","Saturday",2739
"811","Saturday",3331
"812","Saturday",2799
"813","Saturday",2810
"814","Saturday",1688
"815","Saturday",4142
"816","Sunday",1740
"817","Sunday",1427
"818","Sunday",2987
"819","Sunday",1347
"820","Sunday",2063
"821","Sunday",1848
"822","Sunday",1555
"823","Sunday",1821
"824","Sunday",2096
"825","Sunday",1633
"826","Sunday",3089
"827","Sunday",1792
"828","Sunday",3934
"829","Sunday",2423
"830","Sunday",2666
"831","Sunday",3287
"832","Sunday",1762
"833","Sunday",1819
"834","Sunday",2250
"835","Sunday",2712
"836","Sunday",1659
"837","Sunday",2534
"838","Sunday",3589
"839","Sunday",2685
"840","Sunday",2940
"841","Sunday",1688
"842","Sunday",2847
"843","Monday",1819
"844","Monday",1328
"845","Monday",3008
"846","Monday",1347
"847","Monday",2063
"848","Monday",2709
"849","Monday",1869
"850","Monday",1630
"851","Monday",1906
"852","Monday",1667
"853","Monday",2785
"854","Monday",2345
"855","Monday",3013
"856","Monday",2281
"857","Monday",2223
"858","Monday",2990
"859","Monday",2272
"860","Monday",2489
"861","Monday",1248
"862","Monday",2175
"863","Monday",2105
"864","Monday",2960
"865","Monday",2765
"866","Monday",3721
"867","Monday",2947
"868","Monday",1688
"869","Monday",3710
"870","Tuesday",1859
"871","Tuesday",1393
"872","Tuesday",2799
"873","Tuesday",1347
"874","Tuesday",2063
"875","Tuesday",2797
"876","Tuesday",1141
"877","Tuesday",1899
"878","Tuesday",1962
"879","Tuesday",1630
"880","Tuesday",2926
"881","Tuesday",2260
"882","Tuesday",3061
"883","Tuesday",2181
"884","Tuesday",1889
"885","Tuesday",3172
"886","Tuesday",2335
"887","Tuesday",3841
"888","Tuesday",0
"889","Tuesday",2361
"890","Tuesday",2800
"891","Tuesday",2926
"892","Tuesday",3586
"893","Tuesday",2846
"894","Tuesday",57
"895","Tuesday",2832
"896","Wednesday",1783
"897","Wednesday",1359
"898","Wednesday",1276
"899","Wednesday",1347
"900","Wednesday",2063
"901","Wednesday",2544
"902","Wednesday",1698
"903","Wednesday",1903
"904","Wednesday",1826
"905","Wednesday",52
"906","Wednesday",2645
"907","Wednesday",2232
"908","Wednesday",2954
"909","Wednesday",2499
"910","Wednesday",2131
"911","Wednesday",3069
"912","Wednesday",1693
"913","Wednesday",1665
"914","Wednesday",1855
"915","Wednesday",2735
"916","Wednesday",2809
"917","Wednesday",3788
"918","Wednesday",2804
"919","Wednesday",3832
"920","Thursday",0
"921","Thursday",1002
"922","Thursday",665
"923","Thursday",1383
"924","Thursday",1853
"925","Thursday",1364
"926","Thursday",1125
"927","Thursday",1431
"928","Thursday",1120
"929","Thursday",257
"930","Thursday",1623
"931","Thursday",1212
"932","Thursday",1452
"933","Thursday",1240
"934","Thursday",741
"935","Thursday",928
"936","Thursday",1199
"937","Thursday",1505
"938","Thursday",1976
"939","Thursday",0
"940","Thursday",1849
